c/n;f/f;testreg;regi;operator;d/d;type;St
;;OE-IIU;TC-LOJ;THY Turkish AL;31.05.19;;
;;OE-IDB;HZ-NE24;flynas;17.10.22;;C
1608;23.10.15;F-WWCU;F-WHUI;Synergy Aerospace;04.12.15;330-243;
;;;PR-OCG;Avianca Brazil lsd;11.05.17;;
;;N203SA;1608/F-UJCS;l'Armee de l'Air;26.11.20;;C
1609;12.03.15;F-WWCV;9V-SSF;Singapore AL lsd;30.03.15;330-343E;
;;OE-ITB;;;;;STD
1610;27.04.15;F-WWCX;EC-331;MTAD;26.05.15;330-243;
;;MRTT029;G-VYGN;MTAD;r14.07.16;;
;;;ZZ343;Royal AF;06.09.16;;C
1611;16.02.15;F-WWCY;HL8025;Korean Air;27.03.15;330-323E;C
1612;15.04.15;F-WWKS;9M-XXZ;AirAsia X;30.04.15;330-343E;C
1613;11.03.15;F-WWCZ;7T-VJA;Air Algerie;30.03.15;330-202;C
1614;13.02.15;F-WWKD;B-5971;Hainan AL lsd;12.06.15;330-343E;
;;;;Lucky Air tfd;r07.03.17;;
;;;;Hainan AL ret;13.03.18;;C
1615;17.04.15;F-WWYN;N378HA;Hawaiian AL;14.05.15;330-243;C
1616;16.03.15;F-WWKT;TC-JOF;THY Turkish AL;07.04.15;330-303;C
1617;30.04.15;F-WWKV;B-5973;China Eastern AL;22.05.15;330-243;C
1618;18.04.15;F-WWYA;B-LBJ;Cathay Pacific AW;30.04.15;330-343E;C
1619;20.05.15;F-WWYI;HS-XTE;Thai AirAsia X;07.10.15;330-343E;C
1620;27.03.15;F-WWKK;TC-JOG;THY THY Turkish AL;16.04.15;330-303;C
1621;27.02.15;F-WWKN;B-LBK;Cathay Pacific AW;21.04.15;330-343E;
;;;;Cathay Dragon tfd;17.12.18;;
;;;;Cathay Pacific AW tfd;02.12.20;;C
1622;02.04.15;F-WWYF;TC-JOH;THY Turkish AL;21.04.15;330-303;C
1623;08.04.15;F-WWYQ;LV-FVI;Aerolineas Argentinas;29.04.15;330-202;C
1624;11.03.15;F-WWYR;;CIT LC;29.06.15;330-343E;
;;;EC-MIO;Air Europa lsd;10.11.15;;
;;;;Wow Air slsd;30.05.16;;
;;;TF-WOW;Wow Air rr;08.11.16;;
;;OE-IIV;TC-LOK;THY Turkish AL;26.06.19;;
;;;HZ-NE25;flynas;due21;;STD
1625;23.03.15;F-WWYU;B-5966;China Southern AL;30.04.15;330-323E;C
1626;21.05.15;F-WWYV;9K-APA;Kuwait AW;22.06.15;330-243;C
1627;24.04.15;F-WWYX;N822NW;Delta AL;27.05.15;330-302;C
1628;12.01.15;F-WWYY;N823NW;Delta AL;25.08.15;330-302;C
1629;22.04.15;F-WWKH;TC-JOI;THY Turkish AL;22.05.15;330-303;C
1630;10.04.15;F-WWKP;7T-VJB;Air Algerie;29.05.15;330-202;C
1631;24.03.15;F-WWKR;TS-IFM;Tunis Air;08.06.15;330-243;C
1632;05.06.15;F-WWYD;B-5976;China Eastern AL;19.06.15;330-343E;C
1633;21.05.15;F-WWYK;9V-SSG;Singapore AL;22.06.15;330-343E;
;;VP-BUW;;;;;STD
1634;09.04.15;F-WWYL;B-5972;Hainan AL;28.08.15;330-343E;C
1635;12.11.15;F-WWYM;EI-FMH;IAP;25.11.15;330-343E;
;;;TC-LOF;THY Turkish AL lsd;10.02.17;;C
1636;22.05.15;F-WWYS;B-5967;China Southern AL;12.06.15;330-323E;C
1637;05.06.15;F-WWYT;N824NW;Delta AL;24.06.15;330-302;C
1638;10.06.15;F-WWYZ;HL8026;Korean Air;24.06.15;330-323E;C
1639;26.05.15;F-WWCD;B-5975;China Eastern AL;30.06.15;330-243;C
1640;18.06.15;F-WWCM;TC-JOJ;THY Turkish AL;30.06.15;330-303;C
1641;13.05.15;F-WWKA;TS-IFN;Tunis Air;24.08.15;330-243;C
1642;29.06.15;F-WWKE;TC-JOK;THY Turkish AL;10.07.15;330-303;C
1643;17.06.15;F-WWKF;9K-APB;Kuwait AW;30.06.15;330-243;C
1644;16.06.15;F-WWKG;TC-JOL;THY Turkish AL;29.06.15;330-303;C
1645;29.06.15;F-WWKJ;B-5970;China Southern AL;20.07.15;330-323E;C
1646;22.06.15;F-WWKM;HS-XTF;BOC;23.12.15;330-343E;
;;;;Thai AirAsia X;02.03.16;;
;;2-SXTF;;;;;STD
1647;20.08.15;F-WWKO;HL8027;Korean Air;31.08.15;330-323E;C
1648;28.07.15;F-WWKU;9V-SSH;Singapore AL;21.08.15;330-343E;
;;2-SHSV;;;;;STD
1649;03.06.15;F-WWKZ;7T-VJC;Air Algerie;30.06.15;330-202;C
1650;21.07.15;F-WWYO;4R-ALO;SriLankan AL;14.08.15;330-343E;C
1651;16.12.15;F-WWCE;EI-FMI;Intrepid Aviation;29.12.15;330-343E;
;;;TC-LOG;THY Turkish AL lsd;25.04.17;;C
1652;;;;;;330-300;
1653;23.07.15;F-WWCI;9K-APC;Kuwait AW;12.08.15;330-243;C
1654;24.06.15;F-WWCJ;PK-GPX;Garuda Indonesia;14.08.15;330-343E;C
1655;01.09.15;F-WWCK;B-8226;China Eastern AL;30.09.15;330-243;C
1656;17.07.15;F-WWCL;B-8015;Hainan AL;31.08.15;330-343E;C
1657;03.07.15;F-WWCN;F-WJKG;Synergy Aerospace;04.12.15;330-243;
;;;PR-OCX;Avianca Brazil lsd;29.03.17;;
;;N204SA;1657/F-UJCT;l'Armee de l'Air;15.12.20;;C
1658;04.09.15;F-WWYC;B-5977;Air China;29.09.15;330-343E;C
1659;26.11.15;F-WWYG;9M-XBC;AirAsia X;23.12.15;330-343E;
;;2-MXBC;;;;;STD
1660;26.08.15;F-WWYJ;LN-RKR;SAS;15.09.15;330-343E;C
1661;;;;Singapore AL;;330-343E;
1662;25.08.15;F-WWCQ;B-8332;Sichuan AL lsd;11.09.15;330-243;C
1663;15.07.15;F-WWYP;B-8016;Hainan AL;21.09.15;330-343E;C
1664;13.08.15;F-WWKI;B-8231;China Eastern AL;17.09.15;330-243;C
1665;10.09.15;F-WWKQ;LN-RKS;SAS;25.09.15;330-343E;C
1666;19.09.15;F-WWKY;9V-SSI;Singapore AL;29.09.15;330-343E;
;;2-VSSS;;;;;STD
1667;10.09.15;F-WWYH;EC-333;MTAD;30.09.15;330-243;
;;MRTT033;760;Singapore Air Force;10.12.18;;C
1668;12.10.15;F-WWCC;B-LNQ;Hong Kong AL;13.11.15;330-343E;C
1669;07.10.15;F-WWCO;4R-ALP;SriLankan AL;09.11.15;330-343E;C
1670;16.11.15;F-WWCP, F-WXAH;9M-XBA;AirAsia X;13.05.16;330-343E;
;;2-MXBA;;;;;STD
1671;02.09.15;F-WWTJ;PK-GPY;Garuda Indonesia;14.10.15;330-343E;C
1672;15.09.15;F-WWTK;N379HA;Hawaiian AL;29.10.15;330-243;C
1673;09.10.15;F-WWTL;B-5978;Air China;31.10.15;330-343E;C
1674;05.11.15;F-WWTM;F-WXAG;BOC;23.12.15;330-343E;
;;;9M-XBB;AirAsia X;27.05.16;;
;;2-MXBB;;;;;STD
1675;09.10.15;F-WWTN;PK-LEF;Lion Air;26.10.15;330-343E;C
1676;19.10.15;F-WWTO;HZ-AB;Alpha Star Aviation Svcs;16.11.15;330-243CJ;
;;;HZ-SKY2;Sky Prime Aviation Svcs tfd;02.02.17;;C
1677;09.10.15;F-WWTP;B-8117;Hainan AL;27.11.15;330-343E;C
1678;24.09.15;F-WWTQ;9K-APD;Kuwait AW;29.10.15;330-243;C
1679;01.10.15;F-WWTR;N825NW;Delta AL;18.11.15;330-302;C
1680;27.10.15;F-WWTS;PK-LEG;Lion Air;16.11.15;330-343E;C
1681;13.11.15;F-WWKH;9K-APE;Kuwait AW;27.11.15;330-243;C
1682;;;;;;330-300;
1683;;;;Lion Air;;330-343E;
1684;09.11.15;F-WWKN;B-16335;EVA AW;24.11.15;330-302;C
1685;21.10.15;F-WWKS;B-6101;Air China;27.11.15;330-343E;C
1686;20.10.15;F-WWKT;B-8118;Hainan AL;29.12.15;330-343E;C
1687;18.11.15;F-WWKV;4R-ALQ;SriLankan AL;21.12.15;330-343E;C
1688;10.12.15;F-WWYA;A7-AFI;Qatar AW;21.12.15;330-243F;
;;;OO-CMA;Air Belgium;11.02.21;;
;;;F-HMRG;CMA CGM Air Cargo;10.11.22;;C
1689;10.12.15;F-WWYF;4R-ALR;SriLankan AL;29.12.15;330-343E;C
1690;09.12.15;F-WWYN;B-16336;EVA AW;22.12.15;330-302;C
1691;27.11.15;F-WWYQ;EC-MII;Evelop AL;18.12.15;330-343E;
;;;;Iberojet;13.05.21;;C
1692;18.12.15;F-WWYU;DQ-FJW;Fiji AW lsd;23.12.15;330-343E;C
1693;28.11.15;F-WWCQ;PK-LEH;Lion Air;15.12.15;330-343E;C
1694;14.12.15;F-WWCH;EC-MIL;Iberia;28.12.15;330-202;
;;MRTT;452-01/T.24-01;Spanish Air Force;30.11.21;;STD
1695;14.12.15;F-WWCR;B-6102;Air China;23.12.15;330-343E;C
1696;22.01.16;F-WWCV;TC-LNC;THY Turkish AL;04.02.16;330-303;C
1697;07.01.16;F-WWCX;LN-RKT;SAS;27.01.16;330-343X;C
1698;22.01.16;F-WWCY;PK-GPZ;Garuda Indonesia;29.01.16;330-343E;C
1699;23.12.15;F-WWCZ;B-8358;China Southern AL;26.02.16;330-323E;C
1700;15.01.16;F-WWKD;EC-MJA;Iberia;18.02.16;330-202;C
;;MRTT;;Spanish Air Force;due22;;
1701;15.01.16;F-WWKF;N826NW;Delta AL;29.01.16;330-302;C
1702;;;;;;330-300;
1703;14.01.16;F-WWKP;B-8287;Hong Kong AL/Hainan AL;29.01.16;330-343E;C
1704;10.02.16;F-WWKR;TC-LND;THY Turkish AL;26.02.16;330-303;C
1705;;;;;;330-300;
1706;10.03.16;F-WWYD;TC-LNE;THY Turkish AL;31.03.16;330-303;C
1707;;;;AirAsia X;;330-343E;
1708;08.02.16;F-WWYL;A7-AFJ;Qatar AW;22.02.16;330-243F;
;;;OO-AIR;Air Belgium;18.02.21;;
;;;F-HMRH;CMA CGM Air Cargo tfd;09.12.22;;C
1709;01.01.16;F-WWYS;PK-GHA;Garuda Indonesia;25.03.16;330-343E;C
1710;10.03.16;F-WWYT;EC-MJT;Iberia;22.03.16;330-202;
;;;452-02/T.24-02;Spanish Air Force;due;*MRTT;STD
1711;03.02.16;F-WWYV;HB-JHR;Edelweiss AL;23.03.16;330-343E;
;;;D-AFYR;Eurowings Discover tfd;30.07.21;;C
1712;17.03.16;F-WWYX;RP-C3347;Cebu Pacific AL;12.12.16;330-343E;STD
1713;23.03.16;F-WWYZ;TC-LNF;THY Turkish AL;15.04.16;330-303;C
1714;08.03.16;F-WWKE;B-8359;China Southern AL;13.04.16;330-323E;C
1715;19.02.16;F-WWKJ;LN-RKU;SAS;05.04.16;330-343X;C
1716;12.04.16;F-WWYE;N827NW;Delta AL;27.04.16;330-302;C
1717;;;;;;330-300;
1718;18.05.16;F-WWCD;TC-LNG;THY Turkish AL;09.06.16;330-303;C
1719;12.04.16;F-WWKO;EC-MKI;Iberia;28.04.16;330-202;C
;;;;Spanish Air Force;;*MRTT;
1720;11.05.16;F-WWYO;N828NW;Delta AL;31.05.16;330-302;C
1721;07.06.16;F-WWYY;N829NW;Delta AL;23.06.16;330-302;C
1722;13.04.16;F-WWCI;TC-JOV;THY Turkish AL;28.04.16;330-243F;C
1723;05.04.16;F-WWCJ;PK-GHC;Garuda Indonesia;23.05.16;330-343E;C
1724;08.06.16;F-WWCL;HZ-AQ11;Saudi Arabian AL;17.08.16;330-343E;C
1725;03.05.16;F-WWCM;OD-MEE;MEA;24.05.16;330-243;C
1726;21.06.16;F-WWCT;HZ-AQ12;Saudi Arabian;29.08.16;330-343E;C
1727;02.05.16;F-WWKA;F-HPUJ;Air Caraibes/French Blue;03.06.16;330-323E;
;;;;French Bee nn;30.01.18;;
;;;;Air Caraibes Atlantique tfd;26.06.19;;C
1728;10.06.16;F-WWKI;EC-MKJ;Iberia;29.06.16;330-202;C
1729;20.06.16;F-WWKQ;HZ-AQ13;Saudi Arabian;31.08.16;330-343E;C
1730;25.05.16;F-WWKU;B-8420;Tibet AL;29.06.16;330-243;C
1731;17.05.16;F-WWKY;HZ-AQ14;Saudi Arabian;28.09.16;330-343E;C
1732;24.05.16;F-WWYC;N360HA;Hawaiian AL;03.06.16;330-243;C
1733;26.05.16;F-WWYH;PK-GHD;Garuda Indonesia;30.08.16;330-343E;C
1734;20.07.16;F-WWYP;HZ-AQ15;Saudi Arabian;05.10.16;330-343E;C
1735;15.06.16;F-WWCK;EC-330;MTAD;22.07.16;330-243MRTT;C
;;MRTT041;1735/F-UJCG;l'Armee de l'Air;27.09.18;;C
1736;12.07.16;F-WWYR;EC-MLB;Iberia;28.07.16;330-202;C
1737;19.07.16;F-WWCQ;LV-GHQ;Aerolineas Argentinas;04.08.16;330-202;C
1738;25.08.16;F-WWCO;HZ-AQ16;Saudi Arabian;24.10.16;330-343E;C
1739;23.06.16;F-WWYI;HZ-AQ17;Saudi Arabian;07.12.16;330-343E;C
1740;08.08.16;F-WWCC;EC-MLP;Iberia;23.08.16;330-202;C
1741;05.08.16;F-WWKS;9XR-WN;Rwandair;26.09.16;330-243;C
1742;19.08.16;F-WWYM;EI-FNG;Aer Lingus;31.08.16;330-302;C
1743;24.08.16;F-WWCS;HZ-AQ18;Saudi Arabian;01.11.16;330-343E;C
1744;06.09.16;F-WWKH;EI-FNH;Aer Lingus;28.09.16;330-302;C
1745;28.10.16;F-WWKT;ZS-SXI;South African AW;28.11.16;330-343E;
;;9H-SXI;HZ-NE22;flynas;07.12.22;;C
1746;10.08.16;F-WWKV;B-8468;Sichuan AL ;09.11.16;330-243;C
1747;14.09.16;F-WWYA;EC-MMG;Iberia;27.10.16;330-202;C
1748;06.10.16;F-WWYF;LV-GIF;Aerolineas Argentinas;25.10.16;330-202;C
1749;11.11.16;F-WWYN;HZ-AQ19;Saudi Arabian;30.11.16;330-343E;C
1750;06.09.16;F-WWYQ;TC-JOY;THY Turkish AL;31.10.16;330-243F;C
1751;20.09.16;F-WWYU;VP-BHD;Saudi Basic Industries Company;06.10.16;330-243CJ;
;;;VQ-BIG;Jet Aviation Hong Kong;20.10.22;;C
1752;23.09.16;F-WWCE;B-8577;Air China;09.11.16;330-343E;C
1753;05.10.16;F-WWCG;B-8678;Beijing Capital AL;14.12.16;330-343E;C
1754;21.11.16;F-WWCH;ZS-SXJ;South African AW;06.12.16;330-343E;
;;;9H-AHQ;Airhub AL;26.02.22;;C
1755;12.10.16;F-WWKF;EC-MNK;Iberia;18.11.16;330-202;C
1756;02.11.16;F-WWKM;B-8776;Tianjin AL;13.12.16;330-243;C
1757;25.10.16;F-WWKP;ZS-SXK;South African AW;13.12.16;330-343E;
;;9H-SXK;;;;;STD
1758;30.11.16;F-WWYG;B-8659;Tianjin AL;16.12.16;330-243;C
1759;18.11.16;F-WWCN;9XR-WP;Rwandair;30.11.16;330-343E;C
1760;17.11.16;F-WWYJ;B-8426;China Southern AL;02.12.16;330-323E;C
1761;25.11.16;F-WWCR;EC-MNL;Iberia;15.12.16;330-202;C
1762;10.11.16;F-WWCU;EC-332;MTAD;21.11.16;330-243;
;;MRTT034;761;Singapore Air Force;13.08.18;;C
1763;06.12.16;F-WWCV;B-8679;Beijing Capital AL;23.12.16;330-343E;C
1764;07.12.16;F-WWCX;HZ-AQ20;Saudi Arabian AL;21.12.16;330-343E;C
1765;14.12.16;F-WWCY;B-8579;Air China;23.12.16;330-343E;C
1766;13.12.16;F-WWKD;HZ-AQ21;Saudi Arabian AL;01.02.17;330-343E;C
1767;16.12.16;F-WWKR;B-16337;EVA AW;24.01.17;330-302;C
1768;11.01.17;F-WWYL;TC-JOZ;THY Turkish AL;09.02.17;330-243F;C
1769;17.01.17;F-WWYS;N830NW;Delta AL;31.01.17;330-302;C
1770;24.01.17;F-WWYT;HZ-AQ22;Saudi Arabian AL;09.03.17;330-343E;C
1771;25.01.17;F-WWYV;B-8950;Tibet AL;17.02.17;330-243;C
1772;16.02.17;F-WWCP;A6-DCE;Etihad AW;27.02.17;330-243F;
;;;D-ALEJ;DHL Air-EAT;28.05.19;;C
1773;03.02.17;F-WWCZ;B-8959;Tianjin AL;10.03.17;330-243;C
1774;04.02.17;F-WWKE;HZ-AQ23;Saudi Arabian AL;21.02.17;330-343E;C
1775;31.01.17;F-WWKJ;B-8981;Beijing Capital AL;22.05.17;330-243;C
1776;10.02.17;F-WWKO;B-8870;China Southern AL;29.03.17;330-323E;C
1777;13.03.17;F-WWYD;EC-MOU;Iberia;29.03.17;330-202;
;;;;Level;14.05.17;;C
1778;10.03.17;F-WWYZ;B-16338;EVA AW;27.03.17;330-302;C
1779;20.03.17;F-WWCI;ZS-SXL;South African AW;31.03.17;330-343E;
;;2-HHLL;9H-HFA;HiFly Malta;24.04.21;;C
1780;01.03.17;F-WWCJ;B-8962;Sichuan AL;19.04.17;330-243;C
1781;15.03.17;F-WWYC;HZ-AQ24;Saudi Arabian AL;27.04.17;330-343E;C
1782;30.03.17;F-WWCM;B-8982;Beijing Capital AL;21.06.17;330-243;C
1783;14.03.17;F-WWKA;N831NW;Delta AL;27.04.17;330-302;C
1784;30.03.17;F-WWYY;EC-MOY;Iberia;28.04.17;330-202;
;;;;Level;21.05.17;;C
1785;23.03.17;F-WWKU;B-8951;Tibet AL;28.04.17;330-243;C
1786;12.04.17;F-WWYE;B-8689;Air China;28.04.17;330-343E;C
1787;28.04.17;F-WWYO;EC-331;MTAD;19.05.17;330-243MRTT;
;;MRTT050;18-001;Republic of Korea;30.01.19;;C
1788;25.04.17;F-WWYR;B-8968;China Eastern AL;26.05.17;330-343E;C
1789;03.04.17;F-WWCD;RP-C3348;Cebu Pacific AL;19.05.17;330-343E;C
1790;10.04.17;F-WWCK;HZ-AQ25;Saudi Arabian AL;24.05.17;330-343E;C
1791;05.05.17;F-WWCQ;EC-GAJ;Aer Lingus;23.05.17;330-302;C
1792;27.04.17;F-WWCL;ZS-SXM;South African AW;12.06.17;330-343E;STD
1793;24.06.17;F-WWKI;B-8360;China Southern AL;11.07.17;330-323E;C
1794;09.05.17;F-WWCC;B-16339;EVA AW;28.06.17;330-302;C
1795;19.10.17;;F-WTTN;Airbus 900NEO proto;;330-941;C
1796;03.07.17;F-WWCY;B-8967;China Eastern AL;28.07.17;330-343E;C
1797;20.06.17;F-WWKH;HZ-AQ26;Saudi Arabian AL;27.07.17;330-343E;C
1798;19.05.17;F-WWKY;B-8970;China Eastern AL;29.06.17;330-343E;C
1799;13.06.17;F-WWKQ;EC-336;MTAD;30.06.17;330-243MRTT;
;;MRTT035;762;Singapore Air Force;15.03.19;;C
1800;31.07.17;F-WWKS;HZ-AQ27;Saudi Arabian AL;20.09.17;330-343E;C
1801;24.05.17;F-WWYH;B-8971;China Eastern AL;28.06.17;330-343E;C
1802;06.06.17;F-WWYM;B-8383;Air China;31.07.17;330-343E;C
1803;12.06.17;F-WWYP;HZ-AQ28;Saudi Arabian AL;02.10.17;330-343E;C
1804;01.08.17;F-WWYU;B-8972;China Eastern AL;28.08.17;330-343E;C
1805;16.06.17;F-WWYF;B-8596;Tianjin AL;19.09.17;330-243;C
1806;06.10.17;F-WWYA;B-16340;EVA AW;26.10.17;330-302;C
1807;11.07.17;F-WWYQ;B-8385;Air China;28.08.17;330-343E;C
1808;22.11.17;F-WWCO;EC-338;MTAD;18.12.17;330-243MRTT;
;;MRTT042;042/F-UJCH;l'Armee de l'Air;06.19;;C
1809;29.06.17;F-WWCS;B-8862;China Eastern AL;30.08.17;330-343E;C
1810;27.07.17;F-WWCT;B-8865;Shenzhen AL;24.09.17;330-343E;C
1811;13.07.17;F-WWKV;B-8386;Air China;22.09.17;330-343E;C
1812;28.09.17;F-WWCE;HZ-AQ29;Saudi Arabian AL;20.11.17;330-343E;C
1813;04.12.17;F-WTTE;;Airbus 900NEO 2nd;;330-941;SCR
1814;23.08.17;F-WWKF;B-8361;China Southern AL;26.09.17;330-343E;C
1815;06.09.17;F-WWKT;B-8362;China Southern AL;17.10.17;330-343E;C
1816;26.07.17;F-WWYN;B-8863;China Eastern AL;14.12.17;330-343E;C
1817;01.09.17;F-WWCN;EI-GCF;Aer Lingus;20.11.17;330-302;C
1818;15.09.17;F-WWYI;B-8363;China Southern AL;28.09.17;330-343E;C
1819;15.05.18;F-WWKM;CS-TUA;TAP Air Portugal;12.04.19;330-941;C
1820;19.09.17;F-WWCU;HS-LAH;Thai Lion Air;20.11.17;330-343E;
;;;PK-LEL;Lion Air tfd;05.03.20;;C
1821;03.10.17;F-WWKP;B-8365;China Southern AL;14.11.17;330-343E;C
1822;02.10.17;F-WWCG;EC-337;MTAD;30.10.17;330-243MRTT;
;;MRTT036;763;Singapore Air Force;19.06.19;;C
1823;16.09.17;F-WWCH;N361HA;Hawaiian AL;28.09.17;330-243;C
1824;19.07.18;F-WBXL;F-GXLG;Airbus Beluga XL nr 1;19.07.18;330-743L;C
1825;11.10.17;F-WWYJ;B-8690;Sichuan AL;26.10.17;330-243;C
1826;07.11.17;F-WWYX;B-8366;China Southern AL;20.11.17;330-343E;C
1827;09.10.17;F-WWCR;B-1022;Hainan AL;28.12.17;330-343E;C
1828;14.10.17;F-WWCX;HS-LAI;Thai Lion Air;11.12.17;330-343E;
;;;PK-LDY;Batik Air tfd;25.10.19;;
;;;PK-LEK;Lion Air tfd;12.02.20;;C
1829;27.11.17;F-WWCV;B-1017;Shenzhen AL;19.12.17;330-343E;C
1830;15.11.17;F-WWKR;EC-340;MTAD;19.12.17;330-243;
;;MRTT054;T-054;NATO/KLu-Royal Netherlands AF;10.08.20;;C
1831;31.10.17;F-WWKD;B-1021;Hainan AL;26.12.17;330-343E;C
1832;25.10.17;F-WWYS;HS-LAJ;Thai Lion Air;04.12.17;330-343E;
;;;PK-LEM;Lion Air tfd;20.02.20;;C
1833;28.11.17;F-WWYL;B-005A;Airbus China;22.01.18;330-343E;
;;;B-1049;China Eastern AL;27.03.18;;C
1834;24.11.17;F-WWYV;HZ-AQ30;Saudi Arabian AL;12.12.17;330-343E;C
1835;29.11.17;F-WWKE;EC-MSY;Iberia;15.12.17;330-202;C
1836;24.09.18;F-WWCP;CS-TUB;TAP Air Portugal;26.11.18;330-941;C
1837;23.11.17;F-WWYT;B-1020;Hainan AL;23.12.17;330-343E;C
1838;20.12.17;F-WWCZ;B-1059;Lucky Air;27.12.17;330-343E;C
1839;22.12.17;F-WWYZ;B-1036;Shenzhen AL;22.01.18;330-343E;C
1840;20.12.17;F-WWYD;B-1045;Tianjin AL;13.07.18;330-343E;C
1841;06.12.17;F-WWKO, B-005D;B-1066;China Eastern AL;25.04.18;330-343E;C
1842;17.01.18;F-WWYG;B-1041;China Eastern AL;29.01.18;330-343E;C
1843;21.12.17;F-WWCI;B-1004;Lucky Air;07.08.18;330-343E;C
1844;07.03.19;F-WWCJ;OO-ABF;Air Belgium;14.12.21;330-941;C
1845;16.01.18;F-WWYC;B-1047;Tibet AL;08.03.18;330-243;C
1846;11.01.18;F-WWKA;B-1062;China Southern AL;26.03.18;330-343E;C
1847;23.01.18;F-WWKU;B-1043;Beijing Capital AL;28.09.18;330-243;C
1848;30.01.18;F-WWKJ;EC-334;MTAD;28.02.18;330-243;
;;MRTT051;18-002;Republic of Korea;25.03.19;;C
1849;22.01.18;F-WWYE, B-005E;B-302D;Tianjin AL;06.08.18;330-343;C
1850;19.11.18;F-WWYO;CS-TUC;TAP Air Portugal;21.12.18;330-941;C
1851;27.02.18;F-WWYY;B-1014;Lucky Air;28.09.18;330-343E;C
1852;06.02.18;F-WWCD;B-1063;China Southern AL;27.03.18;330-343;C
1853;15.04.19;F-WBXS;F-GXLH;Airbus Beluga XL nr 2-test;06.12.19;330-743L;C
1854;07.02.18;F-WWCQ;EC-MUD;Iberia;16.03.18;330-202;C
1855;15.02.18;F-WWCK;B-1048;Hainan AL;26.07.18;330-343;C
1856;28.02.18;F-WWCM;B-8589;Sichuan AL;23.04.18;330-343;C
1857;20.03.18;F-WWYR;EC-335;MTAD;28.05.18;330-243MRTT;
;;MRTT037;764;Singapore Air Force;15.01.21;;C
1858;21.03.18;F-WWCL;B-1065;China Southern AL;09.04.18;330-343;C
1859;13.03.18;F-WWCC;B-1046;Tibet AL;25.04.18;330-243;C
1860;15.03.18;F-WWYH, B-005C;B-1097;Hainan AL;21.12.18;330-343;C
1861;21.07.21;F-WWKQ;OO-ABG;Air Belgium;08.10.21;330-941;C
1862;16.04.18;F-WWKY;B-1042;Beijing Capital AL;01.10.18;330-343;C
1863;14.03.18;F-WWKI;B-LHF;Hong Kong AL;;330-343;STD
1864;12.05.18;F-WWKH;F-HLVL;Level;25.05.18;330-202;
;;;EC-NRG;Iberia tfd;26.07.21;;
;;;;Level tfd;24.02.22;;C
1865;17.04.18;F-WWCY;B-LHG;Hong Kong AL;;330-343;STD
1866;22.05.18;F-WWYM;B-305W;Lucky Air;18.12.18;330-343;C
1867;27.04.18;F-WWYU;B-1072;Shenzhen AL;29.05.18;330-343E;C
1868;10.04.18;F-WWYQ, B-005A;B-300Q;China Eastern AL;13.07.18;330-343E;C
1869;19.05.18;F-WWCS;B-1073;China Eastern AL;01.06.18;330-343E;C
1870;13.12.19;F-WWKS;PK-GYA;Citilink;17.01.20;330-941;
;;;;Garuda Indonesia tfd;03.06.22;;C
1871;07.05.18;F-WWKV;B-1096;Hainan AL;11.12.18;330-343E;C
1872;18.05.18;F-WWCT;9N-ALY;Nepal AL;27.06.18;330-243;C
1873;18.05.18;F-WWKF, B-005D;B-300P;China Eastern AL;17.08.18;330-343E;C
1874;12.07.18;F-WWYI;B-LHH;Hong Kong AL;;330-343;STD
1875;07.06.18;F-WWCH;B-1098;Hainan AL;21.12.18;330-343;C
1876;11.01.19;F-WWYP;PR-ANZ;Azul L.A.;11.05.19;330-941;C
1877;07.06.18;F-WWKT;EC-MYA;Level;25.06.18;330-202;C
1878;20.06.18;F-WWYN;9N-ALZ;Nepal AL;25.07.18;330-243;C
1879;03.07.18;F-WWYF;B-302E;Shenzhen AL;26.09.18;330-343;C
1880;13.06.18;F-WWYJ, B-005F;B-305R;Beijing Capital AL;30.11.18;330-343;C
1881;26.06.18;F-WWYA, B-005G;B-303D;China Eastern AL;21.09.18;330-343;C
1882;17.07.18;F-WWCG;F-HLVM;Level;31.07.18;330-202;
;;;EC-NRH;Iberia tfd;26.07.21;;
;;;;Level tfd;09.11.21;;C
1883;04.07.18;F-WWKP;EC-339;MTAD;08.18;330-243MRTT;
;;MRTT052;19-003;Republic of Korea;19.07.19;;C
1884;16.02.19;F-WWCN;3B-NBU;Air Mauritius;18.04.19;330-941;C
1885;14.07.18;F-WWCE, B-005A;B-300V;China Southern AL;30.10.18;330-343;C
1886;01.08.18;F-WWYX;EC-332;Airbus Defence & Space;07.11.18;330-243MRTT;
;;MRTT038;765;Singapore Air Force;15.02.20;;C
1887;16.11.19;F-WWCU;PK-GYC;Citilink;03.12.19;330-941;C
1888;06.11.18;F-WWTO;;Airbus 800NEO proto;;330-841;C
1889;24.07.18;F-WWYS, B-005E;B-303N;Shenzhen AL;18.01.19;330-343;C
1890;13.05.19;F-WWCX;3B-NBV;Air Mauritius;19.06.19;330-941;C
1891;05.09.18;F-WWYV;EC-333;MTAD;30.10.18;330-243MRTT;
;;MRTT053;19-004;Republic of Korea;26.11.19;;C
1892;10.12.18;F-WWKE;CS-TUD;TAP Air Portugal;21.12.18;330-941;C
1893;27.08.18;F-WWCO, B-005D;B-304L;Hainan AL;31.12.18;330-343E;C
1894;13.09.18;F-WWCV, B-005G;B-300U;China Southern AL;19.12.18;330-343E;C
1895;24.06.19;F-WWKR;PR-ANY;Azul L.A.;30.10.19;330-941;C
